Experiment,Precision,Recall,F1
Pretrained + Adam,0.8350366724940105,0.8215952816367281,0.8203127012713324
Pretrained + Averaged Adam,0.8598381989726486,0.8495763608797741,0.8481360298940802
From scratch + Adam,0.0651808573703154,0.0571039146181701,0.03974018617410084
